sector-code,sector,sector-percentage,sector-vocabulary,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2012/91001,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,United Nations Humanitarian Air Services in Chad,United Nations Humanitarian Air Services in Chad,,2012-02-28,,2012-01-01,2012-12-31,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,World Food Program,,Other Public Sector,TD,Chad,,,,,2,,10,C01,5,EUR,0,3500000,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:185578,1,11/02/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Appui aux populations touchées par la crise alimentaire 2012 au Tchad (part of ECHO/TCD/BUD/2012/91019),Appui aux populations touchées par la crise alimentaire 2012 au Tchad (part of ECHO/TCD/BUD/2012/91019),,2012-01-08,,,,,,,European Commission's Humanitarian Aid and Civil Protection Department,,,,,,Premiere Urgence,,,TD,Chad,,,,,,,,,,,0,50000,0,0,0,0,0
72040,Emergency Food Aid,,OECD Development Assistance Committee,41127-FTS:185578,1,11/02/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Appui aux populations touchées par la crise alimentaire 2012 au Tchad (part of ECHO/TCD/BUD/2012/91019),Appui aux populations touchées par la crise alimentaire 2012 au Tchad (part of ECHO/TCD/BUD/2012/91019),,2012-01-08,,,,,,,European Commission's Humanitarian Aid and Civil Protection Department,,,,,,Premiere Urgence,,,TD,Chad,,,,,,,,,,,0,50000,0,0,0,0,0
14010,Water Resources Policy And Administrative Management,100,OECD Development Assistance Committee,SE-0-SE-6-7400011901-TCD-14010,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,PMU Syd -98 Ram,"Aktiviteten ""PMU Syd -98 Ram"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,1998-01-01,1999-06-28,Pingst FFS/PMU Interlife,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,TD,Chad,100,,,,1,110,10,C01,,,12945.72863,12946.354342,0,0,0,0,0
43040,Rural Development,,OECD Development Assistance Committee,EU-2-2011-264790,,01/06/15 12:00 AM,en,European Commission - Development and Cooperation-EuropeAid,EU,Other Public Sector,Devis-programme de démarrage PADL II,,3,2011-05-10,2011-11-09,2011-05-10,2011-11-09,PUBLIC SECTOR INSTITUTIONS,10000,,European Union Institutions,EU,Other Public Sector,European Development Fund,EU-2,Other Public Sector,Jumhuriyat Tshad,,,TD,Chad,,,,,1,110,10,C01,,,90624,219791,0,0,0,0,0
72010,Material Relief Assistance And Services,100,OECD Development Assistance Committee,SE-0-SE-6-5204046901-TCD-72010,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,"Humanitärt stöd till Action Contre la Faim, ACF   för nutritions-och livsmedelsinsatser 2014-2016",Humanitärt stöd till ACF for insatser inom nutrition och  livsmedelssäkerhet samt relaterade sektorer (hälsa och vatten och sanitet)på landnivå.,2,,,2014-04-01,2018-03-28,ACF Action Contre la Faim,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,INTERNATIONAL NGO,21000,International NGO,TD,Chad,100,,,,1,110,10,C01,4,,1906067.677946,1534514.52435,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-13-TD-EG-2849,3,10/16/14 12:00 AM,,United States,US,Government,ONG Tchad SOS Agricultural Project,2849,,,,2013-04-12,2014-03-21,,,,United States of America,US,Government,African Development Foundation,US-13,Government,Chadian Womenâ€™s Association (Association Feminine Tchad SOS),,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,7782,8442.84,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-13-TD-EG-2849,3,10/16/14 12:00 AM,,United States,US,Government,ONG Tchad SOS Agricultural Project,2849,,,,2013-04-12,2014-03-21,,,,United States of America,US,Government,African Development Foundation,US-13,Government,Chadian Womenâ€™s Association (Association Feminine Tchad SOS),,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,7782,8442.84,0,0,0,0,0
72010,Material Relief Assistance And Services,100,OECD Development Assistance Committee,SE-0-SE-6-5204006501-TCD-72010,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,ICRC Appell 2009,"Sweden supports the 2009 ICRC Emergency Appeal with 450 million SEK, of which 30 million SEK is to be allocated towards ICRC operations in Zimbabwe and 30 million SEK towards SRC partnership with ICRC. The ICRC programmes are divided into four main areas, namely protection, assistance, prevention and cooperation with national Red Cross and Red Crescent societies.",4,,,2009-01-01,2010-12-28,Internat. Committee Red Cross,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,International Committee of the Red Cross,21016,International NGO,TD,Chad,100,,,,1,110,10,B03,5,,363198.029401,337255.313015,0,0,0,0,0
,,10,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,GB-CHC-202918-CHDA47,,04/12/12 12:00 AM,en,Oxfam GB,GB-CHC-202918,International NGO,Coordination of Humanitarian Assistance to conflict-affected persons in Chad,"Oxfam GB has been working in Eastern Chad since 2004 when the initial refugee influx arrived from the Darfur region of Sudan. To date we have been involved in the setting up of the water, sanitation and public health promotion services and activities with all crosscutting strategies (advocacy, protection, coordination of INGO work,...) in 9 out of the 12 existing refugee camps, IDP sites and host communities. This project is developed to capture 90%of the costs of the Abéché and N'djamena support office. It should be considered as an integral part of all other projects which are part of the overall PIP for Eastern Chad. SCO 3.1",3,,,2010-01-01,2012-03-31,,,,,,,Oxfam GB,GB-CHC-202918,International NGO,,,,TD,Chad,,,,,,,,,,,0,0,805542,0,0,0,0
,,90,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,GB-CHC-202918-CHDA47,,04/12/12 12:00 AM,en,Oxfam GB,GB-CHC-202918,International NGO,Coordination of Humanitarian Assistance to conflict-affected persons in Chad,"Oxfam GB has been working in Eastern Chad since 2004 when the initial refugee influx arrived from the Darfur region of Sudan. To date we have been involved in the setting up of the water, sanitation and public health promotion services and activities with all crosscutting strategies (advocacy, protection, coordination of INGO work,...) in 9 out of the 12 existing refugee camps, IDP sites and host communities. This project is developed to capture 90%of the costs of the Abéché and N'djamena support office. It should be considered as an integral part of all other projects which are part of the overall PIP for Eastern Chad. SCO 3.1",3,,,2010-01-01,2012-03-31,,,,,,,Oxfam GB,GB-CHC-202918,International NGO,,,,TD,Chad,,,,,,,,,,,0,0,805542,0,0,0,0
13040,Std Control Including Hiv/Aids,100,OECD Development Assistance Committee,SE-0-SE-6-5403015501-TCD-13040,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,PMU syd 2011-2012,"Ramstöd till PMU för utvecklingssamarbete i utvecklingsländer syd, 2011-2013. Syfte är att bidra till fattigdomsbekämpning genom att stärka civilsamhällesorganisationer.",4,,,2011-01-01,2013-07-28,Pingst FFS/PMU Interlife,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,TD,Chad,100,,,,3,110,10,B01,5,,2084.694569,2033.340467,0,0,0,0,0
72050,Relief Co-Ordination; Protection And Support Services,100,OECD Development Assistance Committee,CA-3-M013236001,1,12/30/14 12:00 AM,,,CA-3,Government,Tchad - Appel du PAM et de l'UNHAS 2010,"Les hostilités directes et indirectes entre le gouvernement tchadien et divers groupes rebelles locaux, entre le gouvernement tchadien et le Soudan, et entre le gouvernement soudanais et les groupes rebelles du Darfour, ont entraîné une grave crise humanitaire dans la région déjà fortement démunie du Tchad oriental. Environ 260 000 réfugiés soudanais déplacés par le conflit au Darfour, et 185 000 Tchadiens déplacés par les combats dans leur pays, se trouvent désormais dans des camps du Tchad oriental, fardeau bien lourd à porter pour une collectivité d’accueil qui compte 700 000 personnes. Les besoins grèvent les ressources locales – denrées alimentaires, eau, pâturages, sources de carburant – ce qui augmente le risque de maladies mortelles et de malnutrition pour les trois populations.     Avec l'appui de l'ACDI, le Service aérien d'aide humanitaire des Nations Unies (UNHAS) offre des services de transport aérien sécuritaires, efficaces et économiques à plus d’une centaine d'organismes onusiens, d'organisations non gouvernementales et d’organisations donateurs qui viennent en aide aux réfugiés soudanais, aux collectivités d'accueil et aux personnes déplacées au Tchad oriental. En plus du transport des personnes, le service prend en charge le transport de marchandises légères (p. ex. fournitures et équipements médicaux) et effectue des évacuations médicales d’urgence et des évacuations préventives pour des raisons de sécurité.",4,,,2010-05-05,2011-12-31,,,,Canada,CA,Government,Agence canadienne de développement international,CA-1,Government,PAM - Programme alimentaire mondial,41140,Multilateral,TD,Chad,100,,,,1,110,10,B03,,,1000000,1000000,0,0,0,0,0
72040,Emergency Food Aid,100,OECD Development Assistance Committee,CA-3-M013824001,1,10/31/14 12:00 AM,,,CA-3,Government,Assistance alimentaire d'urgence en Afrique - Programme alimentaire mondial 2013,"Janvier 2013 - Créé en 1961, le Programme alimentaire mondial (PAM) est l’organisme des Nations Unies responsable de l’assistance alimentaire, et est aussi la plus grande organisation humanitaire de lutte contre la faim dans le monde. Le PAM fournit une assistance alimentaire aux populations vulnérables afin de lutter contre la faim et d’améliorer la sécurité alimentaire dans le monde. Le PAM a démontré les connaissances et les capacités voulues pour répondre aux besoins d’assistance alimentaire d’urgence des populations vulnérables et contribuer à la lutte contre la faim dans le monde. Compte tenu de la présence et des capacités du PAM, aucune autre organisation n’est en mesure d’exercer les mêmes fonctions à une telle échelle.     Le financement du Canada soutient les programmes d’assistance alimentaire du PAM mis en œuvre dans divers pays d’Afrique en 2013. Dans des contextes de crise humanitaire, le PAM concentre sa programmation sur l’apport d’une assistance alimentaire pour remédier aux situations de malnutrition aiguë et d’insécurité alimentaire et protéger les moyens de subsistance.",3,,,2013-01-10,2013-12-31,,,,Canada,CA,Government,Agence canadienne de développement international,CA-1,Government,PAM - Programme alimentaire mondial,41140,Multilateral,BF;BI;CD;CF;CG;DJ;ET;KE;LS;MG;ML;MR;MW;MZ;NE;SD;SO;SS;TD;ZW,"Burkina Faso;Burundi;Congo, The Democratic Republic Of The;Central African Republic;Congo;Djibouti;Ethiopia;Kenya;Lesotho;Madagascar;Mali;Mauritania;Malawi;Mozambique;Niger;Sudan;Somalia;South Sudan;Chad;Zimbabwe",;;;;;;;11;;;;;;;;;;;;,,,,1,110,10,B03,,,63652357,0,0,0,0,0,0
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2012/91015,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,Provision of protection and assistance to refugees and other populations of concern in Chad,Provision of protection and assistance to refugees and other populations of concern in Chad,,2012-06-27,,2012-01-01,2012-12-31,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,United Nations High Commissioner for Refugees,,Other Public Sector,TD,Chad,,,,,2,,10,C01,5,EUR,0,3000000,0,0,0,0,0
12220,Basic Health Care,100,OECD Development Assistance Committee,SE-0-SE-6-7400268501-TCD-12220,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,PMU ram 2005-2006 Syd,"Aktiviteten ""PMU ram 2005-2006 Syd"" saknar en beskrivande text. Kontrollera om det finns dokument knutna till aktiviteten eller kontakta Sida för att få mer information. Ring 08–698 50 00 eller skicka e-post till sida@sida.se.",4,,,2005-01-01,2008-03-28,Pingst FFS/PMU Interlife,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,TD,Chad,100,,,,1,110,10,C01,,,7415.020609,7465.588055,0,0,0,0,0
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2012/91004,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,Appui intégré aux processus de retours et d'intégration à l'Est du Tchad,Appui intégré aux processus de retours et d'intégration à l'Est du Tchad,,2012-03-20,,2012-02-20,2012-12-19,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,INTERSOS,,Other Public Sector,TD,Chad,,,,,3,,10,C01,5,EUR,0,600000,0,0,0,0,0
,,42,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2014/91003,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,"Community based nutrition resilience building, linking relief to recovery and development in Chad.","Community based nutrition resilience building, linking relief to recovery and development in Chad.",,2014-07-16,,2014-01-01,2015-04-30,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,International Medical Corps UK,,Other Public Sector,TD,Chad,,,,,3,,10,,5,EUR,0,1380000,0,0,0,0,0
,,57,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2014/91003,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,"Community based nutrition resilience building, linking relief to recovery and development in Chad.","Community based nutrition resilience building, linking relief to recovery and development in Chad.",,2014-07-16,,2014-01-01,2015-04-30,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,International Medical Corps UK,,Other Public Sector,TD,Chad,,,,,3,,10,,5,EUR,0,1380000,0,0,0,0,0
99810,Sectors Not Specified,,OECD Development Assistance Committee,41114-OUTPUT-00085758,2,12/07/14 12:00 AM,fr,United Nations Development Programme,41114,Multilateral,"Planification stratégique, ges","Renforcement des capacités nationales de formulation, de mise en œuvre et de suivi des politiques et stratégies, de coordination et de gestion de l'aide, de rationaliser les liens logiques entre les documents stratégiques et les budgets annuels",,,,,,,,,MDTFO/JP-Montengro_UN__Cty_Fun,11455,Multilateral,,,,,,,TD,Chad,,,,,4,110,10,C01,5,USD,888408,127249,329018,33000,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-12/A/44620/5633,1,07/06/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Amélioration de la sécurité alimentaire des populations rurales du Nord Salamat à travers une réponse alimentaire d'urgence et le renforcement des capacités des résiliences des ménages,Répondre a l'urgence alimentaire et renforcer les moyens de subsistances des populations les plus vulnérables a l'insécurité alimentaire.,,2012-01-01,2012-12-31,,,,,,United States of America,,Government,,,,Solidarités International,,,TD,Chad,,,,,,,,,,,457166,0,0,0,0,0,0
73010,Reconstruction Relief And Rehabilitation,,OECD Development Assistance Committee,41127-FTS:CHD-12/A/44620/5633,1,07/06/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Amélioration de la sécurité alimentaire des populations rurales du Nord Salamat à travers une réponse alimentaire d'urgence et le renforcement des capacités des résiliences des ménages,Répondre a l'urgence alimentaire et renforcer les moyens de subsistances des populations les plus vulnérables a l'insécurité alimentaire.,,2012-01-01,2012-12-31,,,,,,United States of America,,Government,,,,Solidarités International,,,TD,Chad,,,,,,,,,,,457166,0,0,0,0,0,0
72010,Material Relief Assistance And Services,100,OECD Development Assistance Committee,SE-0-SE-6-5204027301-TCD-72010,2,12/07/14 12:00 AM,en,Sweden,SE-0,Government,IRC-UK Humram 2011,"Ramvatl mellan Sida och IRC-UK 2011-2013 (24 månader) inkluderar landprogrma (7 projekt i 8 länder), Rapid Respons Mechanism  (8,385,852 SEK)och stöd till flyktingläger (11,879,957 SEK).",2,,,2011-02-01,2014-12-28,International RescueCommittee,,,Sweden,SE-0,Government,Swedish International Development Cooperation Agency,SE-6,Government,INTERNATIONAL NGO,21000,International NGO,TD,Chad,100,,,,1,110,10,C01,5,,302194.415336,302194.415336,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-14/E/67506/R/16462,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Acces a une éducation inclusive en faveur des enfants retournés de la RCA dans la région de N'Djamena,"Développer un cadre communautaire « ami de l’enfant » dans les camps des retournés de la RCA pour réduire l'impact de la crise sur la scolarisation des enfants par:
la création d'un environnement convivial, protecteur  et sensible aux conflits,  d’un apprentissage favorable  à la participation, au maintien et à la réussite à l’école des enfants retournés et surtout des filles ;la promotion de la prévention et de la résolution pacifique des conflits, de la tolérance  et de l’acceptation de la diversité, la réduction de la vulnérabilité des filles et des femmes face aux violences basées sur le genre,
le développement d'un programme d’information et de sensibilisation sur les questions transversales liées aux conflits: coexistence pacifique et tolérance.
",,2014-03-01,2014-12-31,,,,,,,,,,,,Association Lead Tchad,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
73010,Reconstruction Relief And Rehabilitation,,OECD Development Assistance Committee,41127-FTS:CHD-14/E/67506/R/16462,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Acces a une éducation inclusive en faveur des enfants retournés de la RCA dans la région de N'Djamena,"Développer un cadre communautaire « ami de l’enfant » dans les camps des retournés de la RCA pour réduire l'impact de la crise sur la scolarisation des enfants par:
la création d'un environnement convivial, protecteur  et sensible aux conflits,  d’un apprentissage favorable  à la participation, au maintien et à la réussite à l’école des enfants retournés et surtout des filles ;la promotion de la prévention et de la résolution pacifique des conflits, de la tolérance  et de l’acceptation de la diversité, la réduction de la vulnérabilité des filles et des femmes face aux violences basées sur le genre,
le développement d'un programme d’information et de sensibilisation sur les questions transversales liées aux conflits: coexistence pacifique et tolérance.
",,2014-03-01,2014-12-31,,,,,,,,,,,,Association Lead Tchad,,,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:222773,1,12/16/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protecting Displaced Youth X (STATE/PRM),Protecting Displaced Youth X (STATE/PRM),,2014-01-08,,,,,,,United States of America,,,,,,The Foundation for the Refugee Education Trust,,,TD,Chad,,,,,,,,,,,0,1400000,0,0,0,0,0
72050,Relief Co-Ordination; Protection And Support Services,,OECD Development Assistance Committee,41127-FTS:222773,1,12/16/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Protecting Displaced Youth X (STATE/PRM),Protecting Displaced Youth X (STATE/PRM),,2014-01-08,,,,,,,United States of America,,,,,,The Foundation for the Refugee Education Trust,,,TD,Chad,,,,,,,,,,,0,1400000,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:178579,1,05/31/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,School feeding activities (not included in the appeal),School feeding activities (not included in the appeal),,2012-01-08,,,,,,,Japan,,,,,,World Food Programme,,,TD,Chad,,,,,,,,,,,0,3000000,0,0,0,0,0
72040,Emergency Food Aid,,OECD Development Assistance Committee,41127-FTS:178579,1,05/31/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,School feeding activities (not included in the appeal),School feeding activities (not included in the appeal),,2012-01-08,,,,,,,Japan,,,,,,World Food Programme,,,TD,Chad,,,,,,,,,,,0,3000000,0,0,0,0,0
43030,Urban Development And Management,,OECD Development Assistance Committee,41119-TD-REGULAR-U7-GOV,3,12/30/14 12:00 AM,en,United Nations Population Fund,41119,Multilateral,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,2,2012-01-01,2013-12-31,2012-01-01,2013-12-31,United Nations Population Fund,41119,Multilateral,,,,United Nations Population Fund,41119,Multilateral,United Nations Population Fund,41119,Multilateral,TD,Chad,100,,,,4,110,20,C01,5,USD,0,0,113818,0,0,0,0
41082,Environmental Research,,OECD Development Assistance Committee,41119-TD-REGULAR-U7-GOV,3,12/30/14 12:00 AM,en,United Nations Population Fund,41119,Multilateral,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,2,2012-01-01,2013-12-31,2012-01-01,2013-12-31,United Nations Population Fund,41119,Multilateral,,,,United Nations Population Fund,41119,Multilateral,United Nations Population Fund,41119,Multilateral,TD,Chad,100,,,,4,110,20,C01,5,USD,0,0,113818,0,0,0,0
16062,Statistical Capacity Building,,OECD Development Assistance Committee,41119-TD-REGULAR-U7-GOV,3,12/30/14 12:00 AM,en,United Nations Population Fund,41119,Multilateral,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,2,2012-01-01,2013-12-31,2012-01-01,2013-12-31,United Nations Population Fund,41119,Multilateral,,,,United Nations Population Fund,41119,Multilateral,United Nations Population Fund,41119,Multilateral,TD,Chad,100,,,,4,110,20,C01,5,USD,0,0,113818,0,0,0,0
13081,Personnel Development For Population And Reproductive Health,,OECD Development Assistance Committee,41119-TD-REGULAR-U7-GOV,3,12/30/14 12:00 AM,en,United Nations Population Fund,41119,Multilateral,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,2,2012-01-01,2013-12-31,2012-01-01,2013-12-31,United Nations Population Fund,41119,Multilateral,,,,United Nations Population Fund,41119,Multilateral,United Nations Population Fund,41119,Multilateral,TD,Chad,100,,,,4,110,20,C01,5,USD,0,0,113818,0,0,0,0
13010,Population Policy And Administrative Management,,OECD Development Assistance Committee,41119-TD-REGULAR-U7-GOV,3,12/30/14 12:00 AM,en,United Nations Population Fund,41119,Multilateral,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,UNFPA Chad regular-funded data availability and analysis activities implemented by the recipient government of Chad,2,2012-01-01,2013-12-31,2012-01-01,2013-12-31,United Nations Population Fund,41119,Multilateral,,,,United Nations Population Fund,41119,Multilateral,United Nations Population Fund,41119,Multilateral,TD,Chad,100,,,,4,110,20,C01,5,USD,0,0,113818,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:CHD-14/SNYS/68425/R/6459,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,CERF 2014 First Round Underfunded Allocation – to be allocated to specific agencies and projects,n/a,,2014-01-01,2014-12-31,,,,,,,,,,,,UN Agencies (details not yet provided) ,,Multilateral,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:CHD-14/SNYS/68425/R/6459,1,09/10/14 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,CERF 2014 First Round Underfunded Allocation – to be allocated to specific agencies and projects,n/a,,2014-01-01,2014-12-31,,,,,,,,,,,,UN Agencies (details not yet provided) ,,Multilateral,TD,Chad,,,,,,,,,,,0,0,0,0,0,0,0
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2013/91003,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,"Building the Capacity of Communities to Reduce the Impact of Malnutrition among Children under five, and Pregnant and Lactating Women in Chad","Building the Capacity of Communities to Reduce the Impact of Malnutrition among Children under five, and Pregnant and Lactating Women in Chad",,2013-07-03,,2013-03-01,2013-12-31,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,International Medical Corps UK,,Other Public Sector,TD,Chad,,,,,3,,10,C01,5,EUR,0,1250000,0,0,0,0,0
,,100,OECD Development Assistance Committee,EU-4-ECHO/TCD/BUD/2012/91010,,12/09/14 12:00 AM,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,Projet d'Assistance Sanitaire et soutien aux structures locales au Tchad,Projet d'Assistance Sanitaire et soutien aux structures locales au Tchad,,2012-05-25,,2012-03-01,2013-01-31,,,,Humanitarian Aid Office of the European Commission,EU-4,Multilateral,,,,Cooperazione Internazionale (IT),,Other Public Sector,TD,Chad,,,,,3,,10,C01,5,EUR,0,1000000,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-1-TD-HA-AID-FFP-A-14-00001,3,10/16/14 12:00 AM,,United States,US,Government,"Title II Emergency Programs Food Aid Commodity Costs, Metric Tons = 1980000",n/a,,,,2014-03-01,,,,,United States of America,US,Government,Agency for International Development,US-1,Government,United Nations Children`s Fund (UNICEF),,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,550000,550000,0,0,0,0,0
,,100,OECD Development Assistance Committee,US-1-TD-HA-AID-FFP-A-14-00001,3,10/16/14 12:00 AM,,United States,US,Government,"Title II Emergency Programs Food Aid Commodity Costs, Metric Tons = 1980000",n/a,,,,2014-03-01,,,,,United States of America,US,Government,Agency for International Development,US-1,Government,United Nations Children`s Fund (UNICEF),,,TD,Chad,100,289,"South of Sahara, regional",100,,,,,,USD,550000,550000,0,0,0,0,0
12220,Basic Health Care,,OECD Development Assistance Committee,47122-03-TCD-02Z-X,1,10/31/14 12:00 AM,en,The Global Alliance for Vaccination and Immunisation,47122,Multilateral,Immunisation services support (ISS),"One of GAVI’s strategic goals is to “contribute to strengthening the capacity of integrated health systems to deliver immunisation”. The objective of GAVI cash support is to address system bottlenecks to achieve better immunisation outcomes, including coverage and equity. The GAVI approach is results oriented. GAVI’s immunisation services support (ISS) is a flexible programme which countries can use to improve their immunisation performance. Countries have complete control over how and when to use their ISS funding on the condition that DTP3 coverage rates continue to rise. One of the first performance-based programmes of its kind, the ISS programme has two main characteristics aimed at supporting countries to increase their immunisation coverage. ",3,2003-01-01,2003-12-31,2003-01-01,2003-12-31,Federal States & Local Governments,DE-12,Government,The Global Alliance for Vaccination and Immunisation,47122,Multilateral,World Health Organisation - core voluntary contributions account (for technical assitance),41143,International NGO,Federal States & Local Governments,DE-12,Government,TD,Chad,,,,,2,110,10,B02,5,,144500,144500,0,0,0,0,0
,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,41127-FTS:187171,1,09/13/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Multi-sectoral Assistance to Sudanese Refugees and Host Populations in Eastern Chad (ECHO/TCD/BUD/2012/91023),Multi-sectoral Assistance to Sudanese Refugees and Host Populations in Eastern Chad (ECHO/TCD/BUD/2012/91023),,2012-01-08,,,,,,,European Commission's Humanitarian Aid and Civil Protection Department,,,,,,International Rescue Committee,,,TD,Chad,,,,,,,,,,,1593137,0,0,0,0,0,0
72010,Material Relief Assistance And Services,,OECD Development Assistance Committee,41127-FTS:187171,1,09/13/12 12:00 AM,en,UNOCHA-FTS,41127-FTS,Multilateral,Multi-sectoral Assistance to Sudanese Refugees and Host Populations in Eastern Chad (ECHO/TCD/BUD/2012/91023),Multi-sectoral Assistance to Sudanese Refugees and Host Populations in Eastern Chad (ECHO/TCD/BUD/2012/91023),,2012-01-08,,,,,,,European Commission's Humanitarian Aid and Civil Protection Department,,,,,,International Rescue Committee,,,TD,Chad,,,,,,,,,,,1593137,0,0,0,0,0,0
